태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
최경남 태양광발전소,전라남도 함평군 손불면 석계길 55-5,,35.10911975,126.4284234,,가동중단,19.64,380,60,2024,,2024-05-08,전라남도 함평군청,,2025-11-14
나단2호 태양광발전소,,전라남도 함평군 손불면 산남리 1296-4,35.13237222,126.4260549,,정상가동,12.0,220,60,2024,,2024-03-08,전라남도 함평군청,,2025-11-14
나단 태양광발전소,,전라남도 함평군 손불면 산남리 1296-2,35.13253681,126.4255024,,정상가동,18.0,220,60,2024,,2024-02-16,전라남도 함평군청,,2025-11-14
세청1호 태양광발전소,,전라남도 함평군 학교면 사거리 19 외 6필지,,,,정상가동,29.76,380,60,2024,,2024-02-13,전라남도 함평군청,,2025-11-14
은숙2호 태양광발전소,,전라남도 함평군 나산면 수상리 400,35.1413539,126.6384803,,정상가동,343.91,380,60,2024,,2024-01-29,전라남도 함평군청,,2025-11-14
은숙1호 태양광발전소,,전라남도 함평군 나산면 수상리 400,35.1413539,126.6384803,,정상가동,99.96,380,60,2024,,2024-01-29,전라남도 함평군청,,2025-11-14
대동천지6호 태양광발전소,,전라남도 함평군 대동면 강운리 434-4,35.09168763,126.5536245,,정상가동,37.2,380,60,2024,,2024-01-29,전라남도 함평군청,,2025-11-14
월야1호 태양광발전소,전라남도 함평군 월야면 사인정길 34,,35.19096149,126.638597,,가동중단,97.34,380,60,2023,,2023-12-18,전라남도 함평군청,,2025-11-14
기쁨2 태양광발전소,전라남도 함평군 손불면 남교길 41,,35.12301198,126.4263582,,정상가동,19.97,380,60,2024,,2023-11-30,전라남도 함평군청,,2025-11-14
양재2호 태양광발전소,전라남도 함평군 손불면 모량길 70,,35.16291574,126.4100409,,정상가동,29.4,380,60,2024,,2023-11-30,전라남도 함평군청,,2025-11-14
누리1호 태양광발전소,전라남도 함평군 신광면 일강로 896-48,,35.186154,126.4793292,,정상가동,29.76,380,60,2024,,2023-11-30,전라남도 함평군청,,2025-11-14
천사 태양광발전소,전라남도 함평군 월야면 내정길 105,,35.21086188,126.6159599,,정상가동,349.2,380,60,2024,,2023-11-29,전라남도 함평군청,,2025-11-14
현욱 태양광발전소,,전라남도 함평군 손불면 산남리 89-4,35.12855066,126.4434157,,가동중단,75.0,380,60,2023,,2023-11-27,전라남도 함평군청,,2025-11-14
종길에너지 태양광발전소,,전라남도 함평군 손불면 궁산리 402-4,35.11123012,126.4745469,,가동중단,44.63,380,60,2023,,2023-11-14,전라남도 함평군청,,2025-11-14
옥당1호 태양광발전소,전라남도 함평군 함평읍 함영로 1367,,35.08622082,126.4986434,,정상가동,44.63,380,60,2024,,2023-11-14,전라남도 함평군청,,2025-11-14
주영 태양광발전소,전라남도 함평군 학교면 사거리길 63,,35.02383751,126.5326543,,정상가동,46.2,380,60,2024,,2023-11-03,전라남도 함평군청,,2025-11-14
동술 태양광발전소,전라남도 함평군 월야면 월야화산길 11-12,,35.21075275,126.6150028,,정상가동,396.0,380,60,2024,,2023-10-31,전라남도 함평군청,,2025-11-14
덕흥2호 태양광발전소,전라남도 함평군 월야면 서촌길 6,,35.19827664,126.6077722,,정상가동,74.42,380,60,2024,,2023-09-25,전라남도 함평군청,,2025-11-14
