태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
일직 태양광발전소,경기도 광명시 오리로,,37.4525600078706,126.881446120569,옥상,정상가동,20.0,380,60,2013,발전사업용,2012-10-12,경기도,,2025-12-11
큐원솔라 광명시맑은물사업소 태양광발전소,경기도 광명시 범안로 777-21,,,,옥외,정상가동,1783.34,22900,60,2013,발전사업용,2013-06-27,경기도,,2025-12-11
다인빌딩 태양광발전소,경기도 광명시 철산로,,37.4767335775939,126.870036359464,옥상,정상가동,48.75,380,60,2014,발전사업용,2014-06-10,경기도 광명시,,2025-12-11
태광 에너지발전소,경기도 광명시 호봉골길,,37.4182271067473,126.878452878231,옥상,정상가동,19.53,380,60,2016,발전사업용,2016-01-14,경기도 광명시,,2025-12-11
삼천리광명열병합 태양광발전소,경기도 광명시 자경로 17,,,,옥상,정상가동,173.4,22900,60,2018,발전사업용,2018-02-06,경기도 광명시,,2025-12-11
호봉 태양광발전소,경기도 광명시 호봉골길,,37.4182271067473,126.878452878231,옥상,정상가동,19.04,380,60,2018,발전사업용,2018-02-06,경기도 광명시,,2025-12-11
아리 태양광발전소,경기도 광명시 도고내로,,37.4198561494806,126.857031565366,옥상,정상가동,91.44,380,60,2018,발전사업용,2018-05-16,경기도 광명시,,2025-12-11
은준 태양광발전소,경기도 광명시 금오로794번길,,37.469976415378,126.841710231631,옥상,정상가동,99.53,380,60,2019,발전사업용,2019-05-28,경기도 광명시,,2025-12-11
아방 태양광발전소,경기도 광명시 아방리1길,,37.4439518939989,126.845618094242,옥상,정상가동,62.9,380,60,2020,발전사업용,2019-12-13,경기도 광명시,,2025-12-11
천왕차량기지 태양광발전소,,경기도 광명시 옥길동 9,37.4725109780796,126.843758179123,옥상,정상가동,612.36,22900,60,2020,발전사업용,2020-02-21,경기도,,2025-12-11
광명시민햇빛발전소 1호기,경기도 광명시 철망산로 46,,37.4678554971203,126.873710305801,옥상,정상가동,81.9,380,60,2020,발전사업용,2020-05-11,경기도 광명시,,2025-12-11
광명시민햇빛발전소 2호기,경기도 광명시 원광명안로 48,,37.4653570515174,126.851660585433,옥상,정상가동,70.2,380,60,2020,발전사업용,2020-05-11,경기도 광명시,,2025-12-11
부동산 박정구,경기도 광명시 서독로,,37.4155820314213,126.867668669194,옥상,정상가동,19.92,380,60,2020,발전사업용,2020-09-29,경기도 광명시,,2025-12-11
설진봉 태양광발전소,경기도 광명시 가학로15번길,,37.4188789792396,126.849681728757,옥상,정상가동,14.94,380,60,2021,발전사업용,2020-12-22,경기도 광명시,,2025-12-11
광명시민햇빛발전소 3호기,경기도 광명시 오리로 703,,37.4625199339073,126.871162585065,주차장,정상가동,163.01,380,60,2021,발전사업용,2021-07-09,경기도 광명시,,2025-12-11
광명시민전력발전소 1호기,경기도 광명시 기아로 182,,37.4375644743669,126.89884578296,옥상,정상가동,99.425,380,60,2022,발전사업용,2021-10-07,경기도 광명시,,2025-12-11
광명시민전력발전소 2호기,경기도 광명시 기아로 182,,37.4375644743669,126.89884578296,옥상,정상가동,99.425,380,60,2022,발전사업용,2021-10-07,경기도 광명시,,2025-12-11
광명시민전력발전소 3호기,경기도 광명시 기아로 182,,37.4375644743669,126.89884578296,옥상,정상가동,99.425,380,60,2022,발전사업용,2021-10-07,경기도 광명시,,2025-12-11
광명시민전력발전소 4호기,경기도 광명시 기아로 182,,37.4375644743669,126.89884578296,옥상,정상가동,99.425,380,60,2022,발전사업용,2021-10-07,경기도 광명시,,2025-12-11
광명시민전력발전소 5호기,경기도 광명시 기아로 182,,37.4375644743669,126.89884578296,옥상,정상가동,74.69,380,60,2022,발전사업용,2021-10-07,경기도 광명시,,2025-12-11
광원1호 태양광발전소,경기도 광명시 소하일로52번길,,37.449115932825,126.889877573055,옥상,정상가동,29.43,380,60,2022,발전사업용,2021-11-17,경기도 광명시,,2025-12-11
광원2호 태양광발전소,경기도 광명시 소하일로52번길,,37.449115932825,126.889877573055,옥상,정상가동,29.43,380,60,2022,발전사업용,2021-11-17,경기도 광명시,,2025-12-11
광명시민햇빛발전소 4호기,경기도 광명시 안양천로 207,,,,옥상,정상가동,99.0,380,60,2022,발전사업용,2022-02-03,경기도 광명시,,2025-12-11
광명시민전력발전소 6호기,경기도 광명시 사성로 74,,37.4867987873773,126.865647313581,옥상,정상가동,99.425,380,60,2022,발전사업용,2022-04-18,경기도 광명시,,2025-12-11
광명시민전력발전소 7호기,경기도 광명시 오리로 613,,37.4554109876685,126.878163858407,옥상,정상가동,96.04,380,60,2022,발전사업용,2022-04-18,경기도 광명시,,2025-12-11
광명시민전력발전소 8호기,경기도 광명시 오리로 613,,37.4554109876685,126.878163858407,옥상,정상가동,49.47,380,60,2022,발전사업용,2022-04-18,경기도 광명시,,2025-12-11
광명시민햇빛발전소 5호기,경기도 광명시 너부대로35번길 20,,37.478768075528,126.847513472557,옥상,정상가동,59.0,380,60,2022,발전사업용,2022-02-03,경기도 광명시,,2025-12-11
광명시민햇빛발전소 6호기,,경기도 광명시 가학동 산26-3,37.4240637948583,126.867055539761,주차장,정상가동,198.14,380,60,2023,발전사업용,2023-12-27,경기도 광명시,,2025-12-11
소하태양광발전소,경기도 광명시 한내일로 53,,37.4560786091937,126.881772855452,옥상,정상가동,209.79,380,60,2024,발전사업용,2024-07-19,경기도 광명시,,2025-12-11
