태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
팰리스 태양광발전소,"광주광역시 동구 무등로333번길 11, 팰리스빌 (계림동)",광주광역시 동구 계림동 554번지 10호 팰리스빌,35.1626166272866,126.919283555318,,정상가동,29.92,380,60,2018,,,,,2024-10-06
동명태양광발전소,광주광역시 동구 필문대로 251 (동명동),광주광역시 동구 동명동 100번지 8호,35.1486464247361,126.929192131584,,정상가동,19.24,380,60,2018,,,,,2024-10-06
상명2호 태양광발전소,광주광역시 동구 동명로14번길 44 (동명동),광주광역시 동구 동명동 41번지,35.1494675102221,126.927877246438,,정상가동,28.98,380,60,2018,,,,,2024-10-06
지산동1호 태양광발전소,광주광역시 동구 지호로70번길 8-1 (지산동),광주광역시 동구 지산동 177번지 7호,35.1470426141444,126.936821100211,,정상가동,19.44,380,60,2018,,,,,2024-10-06
우리미래1호 태양광발전소,광주광역시 동구 무등로307번길 14-12 (계림동),광주광역시 동구 계림동 555번지 6호,35.1631454487577,126.918066436578,,정상가동,17.8,380,60,2017,,,,,2024-10-06
우리미래2호 태양광발전소,광주광역시 동구 필문대로187번길 16 (산수동),광주광역시 동구 산수동 515번지 4호,35.1543257946307,126.934621026134,,정상가동,14.8,380,60,2017,,,,,2024-10-06
직지미디어태양광발전소,광주광역시 동구 문화전당로23번길 9-1 (금동),광주광역시 동구 금동 110번지,35.1441538199488,126.918515199838,,정상가동,27.0,380,60,2017,,,,,2024-10-06
풍경채에너지 태양광발전소,광주광역시 동구 동명로25번길 10 (동명동),,35.1517233650765,126.922647607879,,정상가동,17.34,380,60,2016,,,,,2024-10-06
주식회사 빛고을메트로,광주광역시 동구 녹동길 45 (용산동),광주광역시 동구 용산동 1번지 1호,35.1068077090172,126.933979161621,,정상가동,2979.72,22900,60,2016,,,,,2024-10-06
우리미래4 태양광발전소,광주광역시 동구 필문대로137번길 5-19 (산수동),광주광역시 동구 산수동 537번지 20호,35.1593199305737,126.931629242906,,정상가동,15.0,380,60,2014,,,,,2024-10-06
우리미래3 태양광발전소,광주광역시 동구 필문대로137번길 5-19 (산수동),광주광역시 동구 산수동 537번지 20호,35.1593199305737,126.931629242906,,정상가동,15.0,380,60,2014,,,,,2024-10-06
빛고을햇빛 태양광발전소 5호(산수),"광주광역시 서구 상무중앙로 114, 랜드피아 326호 (치평동)",광주광역시 서구 치평동 1202-2 랜드피아,35.1574417648085,126.849063808034,,정상가동,99.0,380,60,2014,,,,,2024-10-06
빛고을햇빛 태양광발전소 3호(지원),"광주광역시 서구 상무중앙로 114, 랜드피아 326호 (치평동)",광주광역시 서구 치평동 1202-2 랜드피아,35.1574417648085,126.849063808034,,정상가동,265.0,22900,60,2014,,,,,2024-10-06
빛고을햇빛 태양광발전소 2호(용연),"광주광역시 서구 상무중앙로 114, 랜드피아 326호 (치평동)",광주광역시 서구 치평동 1202-2 랜드피아,35.1574417648085,126.849063808034,,정상가동,999.0,22900,60,2014,,,,,2024-10-06
우당 태양광발전소,광주광역시 동구 선교로 3 (선교동),광주광역시 동구 선교동 227-5,35.0891562606216,126.94819103597,,정상가동,98.0,380,60,2011,,,,,2024-10-06
소요유 태양광발전소,광주광역시 동구 용연길 8 (용연동),광주광역시 동구 용연동 278,35.0940476101598,126.963170240731,,정상가동,30.0,380,60,2024,,,,,2024-10-06
고앤 태양광발전소,광주광역시 북구 금남로 75 (유동),광주광역시 북구 유동 33-4,35.1578433438686,126.904245777731,,정상가동,71.5,380,60,2023,,,,,2024-10-06
보성빌딩 태양광발전소,광주광역시 동구 서암대로 324 (계림동),광주광역시 동구 계림동 1008,35.1646972407749,126.918754634538,,정상가동,39.68,380,60,2023,,,,,2024-10-06
광주광역시 태양광방음터널 발전소 2호,,광주광역시 동구 학동 250-5,35.135227111695,126.9394798447,,정상가동,405.0,380,60,2023,,,,,2024-10-06
빛고을시민 용연햇빛발전소,광주광역시 동구 선교로 84-10 (용연동),광주광역시 동구 용연동 565,,,,정상가동,696.0,22900,60,2023,,,,,2024-10-06
드림지산 태양광발전소,광주광역시 동구 필문대로205번길 47 (지산동),광주광역시 동구 지산동 703-60,35.151972359849,126.936175163083,,정상가동,14.16,380,60,2023,,,,,2024-10-06
챈챈 태양광발전소,광주광역시 동구 무등로321번길 10-11(계림동),광주광역시 동구 계림동 554-11,35.1626647177268,126.919085279733,,정상가동,29.59,380,60,2022,,,,,2024-10-06
영동기업 태양광발전소,"광주광역시 동구 필문대로137번길 5-19(산수동, 산수하이빌)",광주광역시 동구 산수동 537-20 산수하이빌,35.1593199305737,126.931629242906,,정상가동,18.86,380,60,2021,,,,,2024-10-06
명성 태양광발전소,광주광역시 동구 지산로38번길 17-1(지산동),광주광역시 동구 지산동 458-1,35.1475049117774,126.933598323097,,정상가동,29.1,380,60,2021,,,,,2024-10-06
서누태양광발전소,광주광역시 동구 지호로70번길 24(지산동),광주광역시 동구 지산동 168-2,35.1471800586311,126.938548302504,,정상가동,11.7,380,60,2021,,,,,2024-10-06
귀례 발전소,광주광역시 동구 백서로189번길 4 (서석동),광주광역시 동구 서석동 19-8,35.1452073804582,126.924577470171,,정상가동,19.5,380,60,2020,,,,,2024-10-06
주남주유소 태양광발전소,광주광역시 동구 남문로 350 (월남동),광주광역시 동구 월남동 190번지,35.1035921747012,126.939516398015,,정상가동,23.56,380,60,2020,,,,,2024-10-06
영신당 태양광발전소,광주광역시 동구 천변우로 467 (학동),광주광역시 동구 학동 165번지 4호,35.1411217169194,126.918363938555,,정상가동,29.97,380,60,2020,,,,,2024-10-06
웅비 태양광발전소,광주광역시 동구 밤실로136번길 8-9 (산수동),광주광역시 동구 산수동 571번지 1호,35.1590861791301,126.936203302086,,정상가동,19.98,380,60,2019,,,,,2024-10-06
동명2태양광발전소,광주광역시 동구 동계천로 143-5 (동명동),광주광역시 동구 동명동 154번지 131호,35.1492655791961,126.925012916753,,정상가동,19.24,380,60,2019,,,,,2024-10-06
기살림빛고을2호 태양광발전소,광주광역시 동구 계림로30번길 8 (계림동),광주광역시 동구 계림동 215번지 2호,35.1563075164432,126.923663526386,,정상가동,32.4,380,60,2018,,,,,2024-10-06
기살림빛고을1호 태양광발전소,"광주광역시 동구 계림로 34, 광주계림교회 (계림동)",광주광역시 동구 계림동 202번지 2호 광주계림교회,,,,정상가동,97.2,380,60,2018,,,,,2024-10-06
